"GDP per capita (2017 PPP $)"
"Dimension: Income/composition of resources"
"Definition: GDP in a particular period divided by the total population in the same period."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"13"," United Kingdom","30673","","32794","","38131","","42740","","42154","","42470","","42799","","43423","","44228","","44913","","45429","","45975","","46310","","46699",""
"17"," United States","40501","","43095","","50236","","54473","","54437","","54885","","55713","","56351","","57314","","58536","","59029","","59958","","61544","","62683",""
"55"," Uruguay","10159","","11884","","13296","","13410","","17713","","18574","","19174","","20001","","20582","","20588","","20862","","21325","","21591","","21561",""
"106"," Uzbekistan","3417","","2494","","2786","","3405","","4652","","4881","","5164","","5470","","5764","","6087","","6346","","6519","","6755","","6999",""
"140"," Vanuatu","2806","","2872","","3107","","2872","","3245","","3197","","3164","","3136","","3121","","3042","","3066","","3121","","3130","","3144",""
"117"," Viet Nam","1673","","2253","","2955","","3932","","5089","","5352","","5574","","5815","","6098","","6438","","6768","","7156","","7586","","8041",""
"146"," Zambia","2190","","1909","","1991","","2363","","3126","","3201","","3339","","3400","","3450","","3444","","3468","","3485","","3522","","3479",""
"150"," Zimbabwe","3324","","3226","","3473","","2328","","2273","","2556","","2932","","2938","","2955","","2958","","2935","","3028","","3130","","2836",""
"36"," Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"70"," Cuba","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"180"," Eritrea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"185"," South Sudan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"151"," Syrian Arab Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"113"," Venezuela (Bolivarian Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"179"," Yemen","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
